action,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5
fel,-399.592346,-318.942291,-161.964111,-115.230743,-282.450775,-115.940842,49.184948,-155.283661,-2.216863,155.743317,-54.625114,27.771141,418.830933,280.534210,641.699524
fel,-402.833557,-326.245758,-173.339294,-102.320641,-270.777924,-117.974731,53.676266,-151.947098,-10.096730,164.401627,-47.418449,23.252752,418.830933,280.534210,641.699524
fel,-422.668823,-339.065460,-185.130402,-121.937820,-272.804718,-143.946014,23.755379,-164.039688,-47.803989,165.117096,-9.204792,25.095268,418.830933,280.534210,641.699524
fel,-404.789124,-327.037018,-159.008148,-110.409393,-297.611603,-96.310204,47.973511,-181.390091,14.749894,154.023499,-63.551105,45.246002,418.830933,280.534210,641.699524
fel,-408.320709,-332.638794,-186.689789,-117.805618,-273.536499,-116.827263,30.106480,-168.911942,-14.646298,143.535873,-55.208027,17.602430,418.830933,280.534210,641.699524
fel,-422.018768,-341.174072,-168.546204,-127.114410,-295.738342,-119.220284,23.503448,-184.203888,-14.089206,135.412811,-75.620956,17.290035,418.830933,280.534210,641.699524
fel,-409.058167,-327.437073,-167.973541,-115.001945,-270.540497,-116.577805,47.753723,-155.741669,-7.587967,146.998764,-57.534107,16.787689,418.830933,280.534210,641.699524
fel,-411.708832,-339.518524,-192.474884,-113.080368,-284.767700,-122.035378,62.308346,-157.164658,-5.665010,176.898972,-41.784042,29.385406,418.830933,280.534210,641.699524
fel,-408.971680,-328.025024,-180.267303,-121.317558,-282.979401,-125.621384,72.860893,-136.135117,9.258331,172.922150,-35.713043,36.328655,418.830933,280.534210,641.699524
fel,-400.086914,-319.418030,-162.651352,-110.957840,-262.402344,-107.928284,62.130116,-142.514725,7.823616,159.729416,-39.549042,38.611900,418.830933,280.534210,641.699524
fel,-416.228302,-334.691986,-179.202454,-113.515602,-273.717896,-123.282875,67.387039,-135.792969,5.837177,174.118088,-24.909193,37.968971,421.568390,282.367767,645.893616
fel,-418.106750,-337.670959,-174.841476,-163.557358,-292.134735,-147.668655,-12.261475,-191.940018,-47.057499,112.601730,-73.868103,-8.494308,418.830933,280.534210,641.699524
fel,-410.264832,-327.193542,-157.360214,-147.175095,-280.308746,-131.227280,18.329903,-167.782608,-19.772650,119.446861,-60.018875,9.823709,418.830933,280.534210,641.699524
fel,-411.746185,-328.404053,-157.211212,-152.065567,-283.479675,-134.132980,6.078030,-181.434021,-31.087847,83.956230,-94.574799,-22.876070,418.830933,280.534210,641.699524
fel,-411.315308,-316.194916,-155.029816,-99.221657,-252.326050,-120.750275,56.457977,-139.269455,-12.803045,152.738083,-39.829609,18.623644,421.568390,282.367767,645.893616
fel,-378.902802,-280.316498,-125.619621,-70.101212,-225.341034,-91.135933,86.953049,-106.319656,22.430077,175.483429,-10.923667,54.935455,418.830933,280.534210,641.699524
fel,-402.933197,-316.680084,-160.618622,-87.665405,-242.581482,-106.037224,94.391373,-100.714134,22.284094,174.465912,-16.291965,47.675358,418.830933,280.534210,641.699524
fel,-397.137695,-302.896973,-140.660995,-89.516594,-246.617371,-106.230774,66.710052,-124.878105,2.839294,172.711838,-22.589594,40.870388,418.830933,280.534210,641.699524
fel,-408.277954,-314.880829,-143.644669,-121.723862,-251.377853,-121.418152,21.945715,-148.869095,-22.131773,131.744965,-51.164677,14.087749,418.830933,280.534210,641.699524
fel,-407.831604,-329.887756,-170.788300,-127.422882,-261.956482,-131.991226,36.641750,-140.952316,-15.137890,134.944656,-50.174625,14.776096,418.830933,280.534210,641.699524
